32.71,28.41,HOT
32.69,28.47,HOT
32.66,28.40,HOT
32.73,28.30,HOT
32.59,28.35,HOT
32.71,28.57,HOT
32.86,28.46,HOT
32.78,28.19,HOT
32.82,28.58,HOT
32.71,28.01,HOT
32.52,28.12,HOT
32.43,28.07,HOT
32.55,28.54,HOT
32.61,28.55,HOT
32.66,28.57,HOT
32.68,28.39,HOT
32.68,28.52,HOT
32.66,28.60,HOT
32.62,28.30,HOT
32.64,28.29,HOT
32.69,28.61,HOT
32.75,28.34,HOT
32.69,28.33,HOT
32.61,28.27,HOT
32.66,28.54,HOT
32.68,28.41,HOT
32.55,28.37,HOT
32.61,28.11,HOT
32.59,28.42,HOT
32.64,28.27,HOT
32.71,28.22,HOT
32.62,28.34,HOT
32.64,28.55,HOT
32.55,28.26,HOT
32.62,28.45,HOT
32.66,28.44,HOT
32.62,28.37,HOT
32.71,28.19,HOT
32.69,28.40,HOT
32.66,28.33,HOT
32.69,28.59,HOT
32.68,28.40,HOT
32.71,28.52,HOT
32.61,28.20,HOT
32.68,28.36,HOT
32.78,28.46,HOT
32.64,28.12,HOT
32.73,27.79,OK
32.68,28.36,OK
32.48,28.14,OK
32.62,28.21,OK
32.68,28.30,OK
32.59,28.30,OK
32.61,28.23,HOT
32.75,28.33,HOT
32.62,28.40,HOT
32.66,28.27,HOT
32.69,28.33,HOT
32.71,28.47,HOT
32.64,28.27,OK
32.78,28.46,HOT
32.78,28.25,HOT
32.75,28.12,HOT
32.71,28.43,HOT
32.86,28.41,HOT
32.78,28.65,HOT
32.91,28.26,HOT
32.89,27.86,HOT
32.84,28.33,HOT
32.96,28.23,HOT
32.96,28.36,HOT
32.84,28.29,HOT
32.89,28.36,HOT
32.93,28.37,HOT
32.96,28.01,HOT
33.02,28.13,HOT
32.75,28.10,HOT
32.82,27.80,HOT
32.78,28.06,HOT
32.87,28.15,HOT
32.71,28.08,HOT
32.82,27.90,HOT
32.82,28.32,HOT
32.73,28.22,HOT
32.75,28.12,HOT
32.68,28.10,OK
32.66,27.96,OK
32.75,28.03,HOT
32.82,28.20,HOT
32.69,28.09,OK
32.73,27.92,HOT
32.66,28.05,OK
32.61,28.17,OK
32.21,29.09,OK
32.48,29.93,OK
32.68,32.84,OK
32.68,37.73,OK
32.46,35.63,OK
32.59,33.63,OK
32.48,32.86,OK
32.39,31.87,OK
32.39,29.70,OK
32.32,29.27,OK
32.50,28.96,HOT
32.46,28.91,HOT
32.46,28.62,HOT
32.14,28.89,OK
32.12,28.77,OK
32.46,30.60,HOT
31.87,31.23,OK
31.75,30.94,OK
31.82,30.47,OK
31.94,30.31,OK
32.02,29.72,OK
32.07,29.75,OK
32.00,29.55,OK
32.09,29.55,OK
32.12,29.14,OK
32.09,29.36,OK
32.16,29.12,OK
32.16,29.12,OK
32.16,28.81,OK
32.19,28.72,OK
32.16,28.79,OK
32.19,28.94,OK
32.39,28.84,HOT
32.27,28.82,OK
32.21,28.80,OK
32.44,27.29,HOT
32.37,28.41,HOT
32.36,28.84,HOT
32.43,28.65,HOT
32.43,28.34,HOT
32.53,28.22,HOT
32.41,28.73,HOT
32.32,28.49,HOT
32.46,28.18,HOT
32.36,27.97,HOT
32.43,28.49,HOT
32.57,28.28,HOT
32.46,28.46,HOT
32.46,28.26,HOT
32.43,28.11,HOT
32.59,28.37,HOT
32.52,28.39,HOT
32.61,28.20,HOT
32.57,28.13,HOT
32.68,28.14,HOT
32.62,28.06,HOT
32.68,28.39,HOT
32.64,28.12,HOT
32.59,28.24,HOT
32.62,28.04,HOT
32.57,28.26,HOT
32.52,27.99,HOT
32.55,27.88,HOT
32.50,28.13,HOT
32.48,28.07,HOT
32.52,28.13,HOT
32.53,28.00,HOT
32.50,27.92,HOT
32.50,28.26,HOT
32.59,28.20,HOT
32.41,28.02,HOT
32.48,28.11,HOT
32.50,27.93,HOT
32.59,28.07,HOT
32.61,28.28,HOT
32.48,28.06,HOT
32.46,27.43,HOT
32.59,28.32,HOT
32.57,27.94,HOT
32.57,28.02,HOT
32.52,28.05,HOT
32.44,28.02,HOT
32.44,27.96,HOT
32.52,27.95,HOT
32.53,28.28,HOT
32.48,28.08,HOT
32.44,27.94,HOT
32.52,28.28,HOT
32.55,28.18,HOT
32.53,28.06,HOT
32.48,28.25,HOT
32.59,28.01,HOT
32.69,28.12,HOT
32.73,28.03,HOT
32.71,28.17,HOT
32.64,27.88,HOT
32.52,28.20,HOT
32.62,27.91,HOT
32.64,28.05,HOT
32.59,28.00,HOT
32.27,27.88,OK
32.43,28.26,HOT
32.55,28.09,HOT
32.48,27.81,HOT
32.50,27.91,HOT
32.52,28.13,HOT
32.59,27.66,HOT
32.57,27.82,HOT
32.55,27.88,HOT
32.55,27.85,HOT
32.68,27.94,HOT
32.62,28.04,HOT
32.59,27.71,HOT
32.55,27.83,HOT
32.50,27.93,HOT
32.62,27.92,HOT
32.50,27.81,HOT
32.68,27.78,HOT
32.59,27.97,HOT
32.57,27.94,HOT
32.64,28.01,HOT
32.48,27.85,HOT
32.59,27.93,HOT
32.41,27.90,HOT
32.55,27.95,HOT
32.39,28.03,HOT
32.50,27.89,HOT
32.44,27.98,HOT
32.53,28.01,HOT
32.57,28.25,HOT
32.52,27.77,HOT
32.59,27.97,HOT
32.46,27.92,HOT
32.64,27.95,HOT
32.57,27.95,HOT
32.57,27.80,HOT
32.53,27.95,HOT
32.61,28.19,HOT
32.57,27.86,HOT
32.48,28.13,HOT
32.48,28.06,HOT
32.62,27.95,HOT
32.48,28.19,HOT
32.53,27.94,HOT
32.55,27.82,HOT
32.59,27.99,HOT
32.59,27.84,HOT
32.66,28.15,HOT
32.53,27.77,HOT
32.55,28.17,HOT
32.73,27.95,HOT
32.66,27.88,HOT
32.75,27.88,HOT
32.64,28.08,HOT
32.75,27.71,HOT
32.71,27.78,HOT
32.75,28.02,HOT
32.80,27.76,HOT
32.75,27.74,HOT
32.86,27.77,HOT
32.78,27.82,HOT
32.86,27.93,HOT
32.69,27.84,HOT
32.86,27.60,HOT
32.82,27.98,HOT
32.82,27.96,HOT
32.82,27.72,HOT
32.78,27.76,HOT
32.80,27.89,HOT
32.69,28.06,HOT
32.75,27.72,HOT
32.73,27.79,HOT
32.87,27.95,HOT
32.82,28.10,HOT
32.80,27.69,HOT
32.77,27.66,HOT
32.75,27.51,HOT
32.75,28.00,HOT
32.66,27.62,HOT
32.71,27.50,HOT
32.77,27.75,HOT
32.68,27.85,HOT
32.69,27.73,HOT
32.77,27.69,HOT
32.73,27.58,HOT
32.68,27.58,HOT
32.71,27.74,HOT
32.69,27.84,HOT
32.71,27.74,HOT
32.66,27.86,HOT
32.69,27.73,HOT
32.82,28.03,HOT
32.71,27.87,HOT
32.77,27.60,HOT
32.77,27.88,HOT
32.78,27.87,HOT
32.73,27.79,HOT
32.77,27.74,HOT
32.73,27.85,HOT
32.68,27.93,HOT
32.69,28.03,HOT
32.75,27.72,HOT
32.68,28.09,HOT
32.77,27.91,HOT
32.73,28.03,HOT
32.80,27.87,HOT
32.80,27.99,HOT
32.78,27.83,HOT
32.66,27.94,HOT
32.66,27.71,HOT
32.66,28.06,HOT
32.75,27.74,HOT
32.77,27.95,HOT
32.82,27.97,HOT
32.86,27.77,HOT
32.82,27.88,HOT
32.68,27.76,HOT
32.71,27.79,HOT
32.87,27.90,HOT
32.80,27.89,HOT
32.86,27.61,HOT
32.73,27.66,HOT
32.87,27.80,HOT
32.86,27.58,HOT
32.89,27.67,HOT
32.89,28.10,HOT
32.73,27.85,HOT
32.78,27.74,HOT
32.84,27.91,HOT
32.82,27.87,HOT
32.77,28.06,HOT
32.82,27.60,HOT
32.78,27.70,HOT
32.84,28.01,HOT
32.75,27.83,HOT
32.82,27.97,HOT
32.75,27.87,HOT
32.82,27.78,HOT
32.80,27.84,HOT
32.87,27.78,HOT
32.71,27.85,HOT
32.87,28.08,HOT
32.84,27.97,HOT
32.84,28.17,HOT
32.80,27.97,HOT
32.89,27.93,HOT
32.86,27.94,HOT
32.95,27.97,HOT
